source,target,type,weight
GertJan64873143,federalreserve,mention,0.5
GutshotMagazine,ecb,tweet,1.0
GutshotMagazine,jimmy9,mention,0.5
GutshotMagazine,englandcricket,mention,0.5
4414Nick,ecb,tweet,1.0
DigPerspectives,ecb,tweet,1.0
DrumevDesislav,ecb,tweet,1.0
Emre_CAYIRLI,ecb,tweet,1.0
FXstreetReports,HareshMenghani,mention,0.5
matthias_reder,ecb,tweet,1.0
Hopehope_G_hope,ecb,tweet,1.0
InsightviewEu,ecb,tweet,1.0
InsightviewEu,FT,mention,0.5
FXStreetNews,Sagar_Dua24,mention,0.5
BizsolFinserv,ecb,tweet,1.0
wiki_bit,ecb,tweet,1.0
lfalvey,ecb,tweet,1.0
cricexec,ecb,tweet,1.0
cricexec,ECB_cricket,mention,0.5
cricexec,englandcricket,mention,0.5
cricexec,Eoin16,mention,0.5
cricexec,robkey612,mention,0.5
AoodSumrit,ecb,tweet,1.0
KarenFahel,ecb,tweet,1.0
KarenFahel,ECBahia,mention,0.5
mytsarmiento,ecb,tweet,1.0
TheTrendLetter,ecb,tweet,1.0
geckozoo,ecb,tweet,1.0
PBruynen,dartfrog01,mention,0.5
grabancijas,ecb,tweet,1.0
TraderMarcoCost,ecb,tweet,1.0
realpeopleview,ecb,tweet,1.0
BitcoinkoersO,ecb,tweet,1.0
PMA_Accountants,ecb,tweet,1.0
upasakabala,ecb,tweet,1.0
supreed,ecb,tweet,1.0
supreed,Grain_Cycles,mention,0.5
RdeTemas,ecb,tweet,1.0
RdeTemas,CincoDiascom,mention,0.5
CantillonCH,ecb,tweet,1.0
Theanatoliapost,ecb,tweet,1.0
Theanatoliapost,federalreserve,mention,0.5
Theanatoliapost,bankofengland,mention,0.5
Theanatoliapost,ecb,mention,0.5
Kopernek,ecb,tweet,1.0
DavidvtHof,ecb,tweet,1.0
DavidvtHof,ecb,mention,0.5
DavidvtHof,Lagarde,mention,0.5
DavidvtHof,ArmandVervaeck,mention,0.5
DavidvtHof,Esther_Voet,mention,0.5
structure_fi,ecb,tweet,1.0
bitchainsmoker,ecb,tweet,1.0
helin_celik_,ecb,tweet,1.0
VolkRegeert,ecb,tweet,1.0
VolkRegeert,Purmerend80,mention,0.5
VolkRegeert,geertwilderspvv,mention,0.5
JasperSimeonNL,ecb,tweet,1.0
JasperSimeonNL,leondejong,mention,0.5
astuteassets1,ecb,tweet,1.0
astuteassets1,Cointelegraph,mention,0.5
JakeyLC,ecb,tweet,1.0
JakeyLC,englandcricket,mention,0.5
EKnuffer,ecb,tweet,1.0
MHackleton,ecb,tweet,1.0
Xplashio,ecb,tweet,1.0
WorldinSport,ecb,tweet,1.0
mabling,ecb,tweet,1.0
OneCricketApp,jimmy9,mention,0.5
JanVerme,ecb,tweet,1.0
JanVerme,deafspraaktv,mention,0.5
Farnakyboy,ecb,tweet,1.0
CryptoRaheel,ecb,tweet,1.0
RNCrypto74,ecb,tweet,1.0
RNCrypto74,grantltaylor,mention,0.5
Banterman21,ecb,tweet,1.0
ecb,fkocheng,mention,0.5
ItsTradeNation,ecb,tweet,1.0
JuanyKeville,ecb,tweet,1.0
ad_investing22,ecb,tweet,1.0
MatthysKevin,ecb,tweet,1.0
traderuday4,ecb,tweet,1.0
CIVEAOfficial,ecb,tweet,1.0
iimag,ecb,tweet,1.0
iimag,CMEGroup,mention,0.5
itsarafat,ecb,tweet,1.0
KriptoData,ecb,tweet,1.0
marketsday,ecb,tweet,1.0
HEXNEO_THEONE,ecb,tweet,1.0
NatixisResearch,ecb,tweet,1.0
deaaifoon,ecb,tweet,1.0
englishjen2,ecb,tweet,1.0
flyingstocksman,ecb,tweet,1.0
ovunckutlu,ecb,tweet,1.0
iGetTrades,ecb,tweet,1.0
dokey_okey,ecb,tweet,1.0
coindays_org,ecb,tweet,1.0
kvoncount,ecb,tweet,1.0
novarealinvest,ecb,tweet,1.0
TBangemann,ecb,tweet,1.0
commandenteSD,ecb,tweet,1.0
Qletty,ecb,tweet,1.0
_Forex_Wizard,xglobalmarkets,mention,0.5
cosmix,ecb,tweet,1.0
triveyatirim,ecb,tweet,1.0
ZeppLaRouche,ecb,tweet,1.0
AriZoldan,ecb,tweet,1.0
AriZoldan,weberalexander,mention,0.5
AriZoldan,jrandow,mention,0.5
AriZoldan,business,mention,0.5
MoodixMarket,ecb,tweet,1.0
davidac35075727,ecb,tweet,1.0
ArendJanKamp,ecb,tweet,1.0
l_malen,ecb,tweet,1.0
forexanalytix,ecb,tweet,1.0
DailyFXTeam,ecb,tweet,1.0
Twitoth1,ecb,tweet,1.0
Twitoth1,CarloMasala1,mention,0.5
GuntherSchnabl,ecb,tweet,1.0
