username,language,isInfluencer,profession,isBank,isViral,hashtags
AgileImmersive,en,0,unknown,0,0,"['BlessingOfTheElders', 'BOE', 'MuseumOfTheBible', 'DenzelWashington', 'TDJakes', 'readysrent', 'TheJefferson', 'McLaren', 'Supercars']"
ThunderLionJams,0,0,0,0,0,0
museumofBible,0,0,0,0,0,0
LiaMacro,es,0,unknown,0,0,"['powell', 'Lagarde', 'Bailey', 'fed', 'bce', 'Boe', 'bolsamx']"
AUDIOmercados,es,0,unknown,0,0,"['BCE', 'BoE', 'Fed']"
FXstreetUpdate,en,0,unknown,0,0,"['Fed', 'ECB', 'BOE']"
commando520,en,0,unknown,0,0,"['XAUUSD', 'Dollar', 'fed', 'BOE', 'bankofengland', 'deflation']"
ParamioConde,es,0,unknown,0,0,"['BOE', 'Valladolid']"
empleojob_es,es,0,unknown,0,0,"['EmpleoPúblico', 'BOE', 'empleopublico', 'opositar', 'oposiciones']"
commando520,en,0,unknown,0,0,"['XAUUSD', 'XAUUSD', 'Dollar', 'fed', 'BOE', 'bankofengland', 'inflation']"
commando520,en,0,unknown,0,0,"['XAUUSD', 'Dollar', 'fed', 'BOE', 'bankofengland', 'inflation']"
qooldad1978,en,0,politics,0,0,"['Government', 'Centralbank', 'BankofEngland', 'Rothschilds']"
Nigel_Farage,0,0,0,0,0,0
fxstreetnewsvn,vi,0,analyst,0,0,"['EURGBP', 'ECB', 'Technical', 'BOE', 'Currencies']"
TheCryptomath,fr,0,unknown,0,0,"['BCE', 'Fed', 'BoE', 'BoJ']"
crossbordercap,en,0,analyst,0,0,"['BoE', 'liquidity', 'UK', 'CBI', 'recession']"
sevdailycrypto,tr,0,unknown,0,0,"['ECB', 'FED', 'BOE']"
KayeBasil,en,0,unknown,0,0,"['Fed', 'Boe', 'ECB', 'Youdontknowwhatyouredoing']"
BloombergUK,0,0,0,0,0,0
noticiasfx,es,0,analyst,0,0,"['EURGBP', 'ECB', 'Technical', 'BOE', 'Currencies']"
rotepille,af,0,unknown,0,0,"['Bank', 'boe', 'snoopdogg']"
fxstreetcn,en,0,analyst,0,0,"['EURGBP', 'ECB', 'Technical', 'BOE', 'Currencies']"
fxstreetnewsid,id,0,analyst,0,0,"['EURGBP', 'ECB', 'Technical', 'BOE', 'Currencies']"
JPodhorsky,en,0,unknown,0,0,"['ECB', 'Eurozone', 'Fed', 'BoE', 'BoJ']"
FXStreetNews,en,0,analyst,0,0,"['EURGBP', 'ECB', 'Technical', 'BOE', 'Currencies']"
CecapFormacion,es,0,unknown,0,0,"['BOE', 'convocatoria', 'innovación', 'PRTR']"
gerardo_perez_s,es,0,unknown,0,0,['BOE']
FEDECA_Murcia,es,0,unknown,0,0,['BOE']
EasternEye,en,0,finance expert,0,0,"['Bank', 'pay', 'economy', 'banking', 'inflation', 'wage', 'finance', 'CostOfLivingCrisis', 'CostOfLiving', 'UK', 'news', 'BankofEngland']"
fxstreetcn,zh-cn,0,unknown,0,0,"['EURGBP', 'BOE', 'GBPUSD', 'Banks']"
mariannekelly66,en,0,unknown,0,0,"['notcool', 'notsustainable', 'nofastfood', 'XR', 'bankofengland', 'divestnow', 'bankofindia', 'JustStopOil']"
Nestle,0,0,0,0,0,0
CocaCola,0,0,0,0,0,0
fanta,0,0,0,0,0,0
BisleriZone,0,0,0,0,0,0
Shell,0,0,0,0,0,0
fxstreetnewsid,id,0,unknown,0,0,"['EURGBP', 'BOE', 'GBPUSD', 'Banks']"
FXStreetNews,en,0,unknown,0,0,"['EURGBP', 'BOE', 'GBPUSD', 'Banks']"
fxstreetcn,vi,0,unknown,0,0,"['EURGBP', 'BOE', 'Banks']"
fxstreetnewsid,id,0,unknown,0,0,"['EURGBP', 'BOE', 'Banks']"
FXStreetNews,en,0,unknown,0,0,"['EURGBP', 'BOE', 'Banks']"
HRAnaBarba,es,0,unknown,0,0,['BOE']
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'GDP', 'Inflation']"
jhontxu,so,0,unknown,0,0,"['FED', 'BOE', 'BCE']"
fxstreetcn,en,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'GDP', 'Inflation']"
MGMELSYSTEMS,es,0,unknown,0,0,"['Google', 'medios', 'algoritmo', 'GoogleNews', 'Showcase', 'BOE']"
rdp_periodistas,0,0,0,0,0,0
Salamanca_Gob,es,0,unknown,0,0,"['Buenosdías', 'FelizMiércoles', 'BOE']"
sevdailycrypto,tr,0,unknown,0,0,"['Fed', 'ECB', 'BoE']"
triveyatirim,tr,0,unknown,0,0,"['YouTube', 'Fed', 'ECB', 'BoE', 'TÜFE', 'PCE', 'Petrol', 'OPEC', 'NATO', 'BİST100', 'DolarTL']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'GDP', 'Inflation']"
EsperanzaMacar7,es,0,unknown,0,0,['BOE']
kisacahst,tr,0,unknown,0,0,"['Fed', 'Powell', 'ECB', 'Lagarde', 'BoE', 'Bailey']"
wealthof21M,en,0,unknown,0,0,"['Bitcoin', 'BOE', 'EndtheFed']"
VivaPost,en,0,finance expert,0,0,"['ECB', 'BOE', 'FED']"
Nancy38961417,en,0,analyst,0,0,"['G7Meetings', 'EURO', 'Italian', 'USD', 'FOMC', 'GDP', 'ECB', 'Lagarde', 'GBP', 'BOE', 'Bailey']"
fxstreetcn,no,0,unknown,0,0,"['GBPUSD', 'BOE', 'Fed', 'RiskAppetite', 'Currencies']"
fxstreetnewsid,en,0,unknown,0,0,"['GBPUSD', 'BOE', 'Fed', 'RiskAppetite', 'Currencies']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'BOE', 'Fed', 'RiskAppetite', 'Currencies']"
anilpanchal7,0,0,0,0,0,0
AoodSumrit,th,0,unknown,0,0,"['cryptocurrecy', 'Nazdaq', 'ECB', 'BOE', 'FED', 'BTC', 'ETH', 'BNB']"
AoodSumrit,th,0,unknown,0,0,"['XAUUSD', 'Gold', 'ECB', 'BOE', 'FED']"
nigeljgreen,en,0,unknown,0,0,"['BoE', 'FT']"
BoeTechnology,en,0,supporter,0,0,"['BOETALK', 'BOE', 'BOEtechnology']"
BoeTechnology,en,0,unknown,0,0,"['BOE', 'BOEtechnology']"
UknowCoachSean,en,0,unknown,0,0,"['summerGRIND', 'BOE']"
obrasinsignia,es,0,unknown,0,0,"['BOE', 'eficienciaenergética', 'rehabilitacionviviendas', 'subvenciones', 'ayudas']"
RdeTemas,es,0,unknown,0,0,"['BancodeInglaterra', 'BankofEngland', 'BoE']"
elEconomistaes,0,0,0,0,0,0
UknowCoachSean,en,0,unknown,0,0,"['ScaryHours', 'TGDS', 'BOE']"
instrabajoyss,es,0,unknown,0,0,['BOE']
mrcollinsfinanz,en,0,unknown,0,0,"['careers', 'lloydsoflondon', 'financialeducation', 'financialliteracy', 'future', 'londonstockexchange', 'londonguildhall', 'bankofengland', 'thankyou']"
insiderlondon,0,0,0,0,0,0
mikecosgrove,0,0,0,0,0,0
teen_executive,0,0,0,0,0,0
MeaningJack,0,0,0,0,0,0
RupalEconomics,0,0,0,0,0,0
adapt123,en,0,unknown,0,0,"['interstates', 'bankofengland', 'business', 'adaptaccountancy', 'businessgrowth', 'quotes', 'accountancy']"
qooldad1978,en,0,politics,0,0,"['Government', 'Centralbank', 'BankofEngland', 'Rothschild', 'LifeinTheUK']"
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'BOE', 'Banks']"
fxstreetcn,zh-cn,0,unknown,0,0,"['GBPUSD', 'BOE', 'Banks']"
FXStreetNews,en,0,supporter,0,0,"['GBPUSD', 'BOE', 'Banks']"
Objetivo062,es,0,unknown,0,0,"['BOE', 'convocatoria2022', 'GuardiaCivil']"
herransusana,es,0,unknown,0,0,"['BOE', 'PoliciaLocal', 'CastroUrdiales', 'SeguimosAvanzando']"
fxstreetnewsvn,vi,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'Currencies']"
noticiasfx,es,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'Currencies']"
47whitebuffalo,en,0,unknown,0,0,"['ClimateActionNow', 'BlueOceanEvent', 'BOE', 'ClimateCrisis']"
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'Currencies']"
fxstreetcn,en,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'Currencies']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'Currencies']"
Geradedenken1,de,0,unknown,0,0,['BOE']
Geradedenken1,de,0,unknown,0,0,"['BlueOceanEvent', 'Klimakatastrophe', 'Klimakrise', 'BOE']"
readygotraining,es,0,unknown,0,0,"['guardiacivil', 'oposiciones', 'boe', 'opofamily']"
guardiacivil,0,0,0,0,0,0
Opositatest,es,0,unknown,0,0,"['GuardiaCivil', 'BOE']"
cescyl,es,0,unknown,0,0,"['BOE', 'PlandeRecuperacion', 'NextGenerationEU', 'ayudas', 'películas', 'audiovisuales', 'eventos', 'Internacionales']"
cescyl,es,0,unknown,0,0,"['BOE', 'SeguridadSocial']"
cescyl,es,0,unknown,0,0,"['BOE', 'ViolenciaDeGenero', 'entidades', 'locales', 'ViolenciaDeGenero']"
DonasangreCruzR,es,0,unknown,0,0,"['FelizMartes', 'BOE']"
JamesAtLangton,en,0,finance expert,0,0,"['BankofEngland', 'inflation', 'uk', 'economy']"
SonjaConscious,en,0,finance expert,0,0,"['wearefffed', 'CostOfLivingCrisis', 'BankofEngland']"
RichardJMurphy,0,0,0,0,0,0
crossbordercap,en,0,unknown,0,0,"['BoE', 'liquidity', 'UK', 'CBI', 'recession']"
Coreco,en,0,unknown,0,0,"['BankofEngland', 'raterise']"
AFME_EU,en,0,finance expert,0,0,['BoE']
ING_news,0,0,0,0,0,0
AntoineBouvet2,0,0,0,0,0,0
SocieteGenerale,0,0,0,0,0,0
jpmorgan,0,0,0,0,0,0
Solartys,es,0,unknown,0,0,"['AgrupacionesEmpresarialesInnovadoras', 'AEIs', 'BOE']"
mincoturgob,0,0,0,0,0,0
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'BOE', 'Banks', 'Growth', 'Inflation']"
fxstreetcn,vi,0,unknown,0,0,"['GBPUSD', 'BOE', 'Banks', 'Growth', 'Inflation']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'BOE', 'Banks', 'Growth', 'Inflation']"
fxstreetnewsid,id,0,unknown,0,0,"['BOE', 'Brexit', 'EURGBP', 'Banks']"
fxstreetcn,vi,0,unknown,0,0,"['BOE', 'Brexit', 'EURGBP', 'Banks']"
FXStreetNews,en,0,unknown,0,0,"['BOE', 'Brexit', 'EURGBP', 'Banks']"
InvGurInd,en,0,finance expert,0,0,"['Rupee', 'USdollar', 'President', 'CurrencyNews', 'USFederalReserve', 'BankofEngland', 'ChristineLagarde', 'LorettaMester', 'JeromePowell', 'FII', 'Governor', 'Investmentguruindia']"
