username,language,isInfluencer,profession,isBank,isViral,hashtags
sportsmail24,bn,0,unknown,0,0,"['ECB', 'sportsmail']"
RealVision,en,0,unknown,0,0,"['inflation', 'ECB', 'BoE']"
reb00t2r00t,en,0,analyst,0,0,"['EURUSD', 'sentiment', 'Euro', 'forex', 'ecb', 'Dollar', 'data']"
Twitter,0,0,0,0,0,0
reb00t2r00t,0,0,0,0,0,0
_Forex_Wizard,en,0,unknown,0,0,['ECB']
LiveSquawk,0,0,0,0,0,0
Lagarde,0,0,0,0,0,0
OneCricketApp,en,0,unknown,0,0,"['ENGvIND', 'ECB', 'englandcricket', 'BenStokes', 'JoeRoot', 'edgbastontest']"
DisruptionBank,en,0,unknown,0,0,"['systemicrisk', 'eurozone', 'ecb']"
HendrikdeHaan,nl,0,unknown,0,0,['ECB']
lexhoogduin,0,0,0,0,0,0
martinvisser,0,0,0,0,0,0
ollirehn,en,0,unknown,0,0,['ECB']
MrSahil05063151,it,0,unknown,0,0,"['ENGvIND', 'ViratKohli', 'bcci', 'ECB']"
abplive,en,0,unknown,0,0,"['IndiavsEngland', '5thTest', 'JamesAnderson', 'ECB', 'INDvsENG']"
editorjihindi,hi,0,unknown,0,0,"['India', 'JamesAnderson', 'INDvsENG', 'ECB', 'BCCI']"
ReutersGMF,en,0,unknown,0,0,"['ECB', 'PEPP', 'cenbanks', 'inflation', 'spreads', 'bonds', 'EZ', 'govvies']"
Reuters,0,0,0,0,0,0
FranCanJourno,0,0,0,0,0,0
OneCricketApp,en,0,unknown,0,0,"['BenStokes', 'ECB', 'Englandcricket', 'ENGvIND']"
BiaDupin,en,0,analyst,0,0,"['ECB', 'Lagarde', 'FOMC', 'Powell', 'CNBC', 'Bloomberg', 'Foxb']"
SteveMatthews12,0,0,0,0,0,0
ctorresreporter,0,0,0,0,0,0
economics,0,0,0,0,0,0
karendenetim,en,0,finance expert,0,0,"['inflation', 'euroarea', 'growth', 'ECB', 'economy']"
IndiaTVSports,hi,0,unknown,0,0,"['INDvsENG', 'EnglandCricketTeam', 'ECB', 'jamesanderson']"
IndiaTVHindi,hi,0,unknown,0,0,"['INDvsENG', 'EnglandCricketTeam', 'ECB', 'jamesanderson']"
ultimominutoOTC,es,0,unknown,0,0,"['BCE', 'ECB']"
OneCricketApp,en,0,unknown,0,0,"['ENGvIND', 'BCCI', 'Bumrah', 'CricketEngland', 'ECB']"
im_sandipan,0,0,0,0,0,0
JDrake45902915,fr,0,unknown,0,0,"['France', 'inflation', 'Euro', 'BCE', 'ECB', 'Macron']"
EmmanuelMacron,0,0,0,0,0,0
3Xtraders,en,0,unknown,0,0,"['Bitcoin', 'ECB']"
ericlemiere,ca,0,unknown,0,0,['ecb']
xglobalmarkets,de,0,finance expert,0,0,"['INFLATION', 'ECONOMY', 'RATES', 'ECB']"
AsianetNewsTL,te,0,unknown,0,0,"['INDvsENG', 'JamesAnderson', 'ECB']"
IanSaph1,en,0,unknown,0,0,"['Euro', 'EuropeanCentralBank', 'FX', 'EU']"
IntnCrimCourt,0,0,0,0,0,0
Chaidy,0,0,0,0,0,0
MianWasem2,en,0,unknown,0,0,"['PCB', 'Pakistancricketbord', 'ACC', 'ECB', 'CricketAustilla', 'Blackcaps']"
Pal_Finance,en,0,analyst,0,0,"['ECB', 'inflation', 'EUR', 'DAX', 'Stock_Market', 'Fundamental_Analysis', 'Pal_Fx_News']"
HansLandman,nl,0,unknown,0,0,"['boerenprotest', 'eu', 'ECB', 'boeren']"
dellyranksindia,en,0,unknown,0,0,"['ECB', 'FormerteamIndiacoachandcricketer', 'RaviShastri', 'westindies']"
StephenMedlock5,en,0,politics,0,0,"['EU', 'ECB', 'Lagarde', 'bbcnews', 'skynews', 'GBNews', 'c4news', 'ITVNews', 'PoliticsLive', 'wato']"
FXstreetReports,en,0,unknown,0,0,"['EURUSD', 'Correlation', 'ECB', 'TradingPlan']"
VasilisDalianis,en,0,unknown,0,0,['ECB']
owls_4life,en,0,unknown,0,0,"['cricket', 'ECB', 'ENGvSA', 'skycricket']"
vibiznews,id,0,finance expert,0,0,"['forex', 'Gold', 'dollar', 'WallStreet', 'FederalReserve', 'ECB', 'Lagarde', 'jeromepowell']"
ss_seekingalpha,en,0,finance expert,0,0,"['SP500', 'DJIA', 'Futures', 'ECB', 'FederalReserve', 'Fed', 'JeromePowell', 'stocks', 'StockMarket', 'stockmarketcrash', 'stockmarkets']"
JohnClke,en,0,unknown,0,0,"['ECB', 'CostOfLivingCrisis']"
OneCricketApp,en,0,unknown,0,0,"['ENGvIND', 'englandcricket', 'ECB', 'TeamIndia']"
sportsmail24,bn,0,unknown,0,0,"['ECB', 'BCCI', 'test', 'sportsmail']"
xglobalmarkets,de,0,finance expert,0,0,"['ECB', 'INFLATION', 'ECONOMY', 'RATES']"
noticiasfx,es,0,unknown,0,0,"['Gold', 'XAUUSD', 'ECB', 'Banks', 'Inflation']"
syamkp1,en,0,analyst,0,0,"['markets', 'hawkish', 'ECB', 'Gold', 'EURUSD', 'fed', 'boe', 'dxy']"
aanpakkuh,en,0,supporter,0,0,"['Soros', 'Rothschild', 'GoldmanSachs', 'deficits', 'debt', 'inflation', 'ECB', 'EU']"
paulbuitink,0,0,0,0,0,0
