source,target,type,weight
TIMGOLDFINCH,reactionlife,mention,0.5
TIMGOLDFINCH,juancastanedaf,mention,0.5
TIMGOLDFINCH,jbhearn,mention,0.5
GivingCuppa,bankofengland,tweet,1.0
cityamclub,bankofengland,tweet,1.0
cityamclub,__JackBarnett,mention,0.5
wauerochs,bankofengland,tweet,1.0
wauerochs,tobiasleicher,mention,0.5
wauerochs,mnfrm,mention,0.5
wauerochs,fit4mainframe,mention,0.5
wauerochs,RolandTrauner,mention,0.5
wauerochs,IBM,mention,0.5
wauerochs,wauerochs,mention,0.5
wauerochs,DATEV,mention,0.5
wauerochs,IBMChampions,mention,0.5
wauerochs,stowellme,mention,0.5
BohanJohn,bankofengland,tweet,1.0
BohanJohn,Stipendium_,mention,0.5
wauerochs,BenedictHolste,mention,0.5
oreganone,bankofengland,tweet,1.0
NicTrades,bankofengland,tweet,1.0
KinesisMonetary,bankofengland,tweet,1.0
KinesisMonetary,rupertrowling,mention,0.5
Leocoins_com,bankofengland,tweet,1.0
p_triglavcanin,bankofengland,tweet,1.0
p_triglavcanin,kateclaytn,mention,0.5
TrioMarkets,bankofengland,tweet,1.0
bancoinvest,bankofengland,tweet,1.0
LevelTradeForex,bankofengland,tweet,1.0
BenNoaCH3,bankofengland,tweet,1.0
cescyl,CIS_Institucion,mention,0.5
DGobExtremadura,bankofengland,tweet,1.0
cescyl,IgualdadGob,mention,0.5
DoejiStar,bankofengland,tweet,1.0
cescyl,sanidadgob,mention,0.5
IPesqueras,bankofengland,tweet,1.0
Autismo_Espana,bankofengland,tweet,1.0
Autismo_Espana,ApnaAutismo,mention,0.5
Autismo_Espana,Cermi_Estatal,mention,0.5
Zakaria_KARDOU,bankofengland,tweet,1.0
J4SonJa,bankofengland,tweet,1.0
J4SonJa,BBCNews,mention,0.5
J4SonJa,SkyNews,mention,0.5
cescyl,coe_esp,mention,0.5
CollinForbesARC,bankofengland,tweet,1.0
SCROTUSinChief,bankofengland,tweet,1.0
trader_nomad,bankofengland,tweet,1.0
larry79115,bankofengland,tweet,1.0
AvaTrade,bankofengland,tweet,1.0
ArthaSachi,bankofengland,tweet,1.0
SafetyGa,bankofengland,tweet,1.0
4zerodeci99gdwn,bankofengland,tweet,1.0
biztoc,bankofengland,tweet,1.0
PolitIcalChall2,bankofengland,tweet,1.0
koreanewsdata,bankofengland,tweet,1.0
FEDECA_Murcia,mitecogob,mention,0.5
FEDECA_Murcia,chsriosegura,mention,0.5
FEDECA_Murcia,CanalesTaibilla,mention,0.5
MTSInsights,bankofengland,tweet,1.0
MTSInsights,WellsFargo,mention,0.5
PriorConsults,bankofengland,tweet,1.0
PriorConsults,nigeljgreen,mention,0.5
PriorConsults,MortgageStrat,mention,0.5
BartekGieldowy,bankofengland,tweet,1.0
Scotiabankfx,bankofengland,tweet,1.0
KarimTheRealOne,bankofengland,tweet,1.0
countingpips,bankofengland,tweet,1.0
flettons,bankofengland,tweet,1.0
flettons,HomesProperty,mention,0.5
TwoFiveBaseball,bankofengland,tweet,1.0
EFGInt,bankofengland,tweet,1.0
ArgaamPlus,bankofengland,tweet,1.0
LiesbethvBerkel,bankofengland,tweet,1.0
uk_investing,bankofengland,tweet,1.0
911K11K,bankofengland,tweet,1.0
911K11K,bankofengland,mention,0.5
KathyConWom,bankofengland,tweet,1.0
PriorConsults,FMindustry,mention,0.5
PriorConsults,abcmoneyuk,mention,0.5
EtudesEco,bankofengland,tweet,1.0
Francesc_Forex,bankofengland,tweet,1.0
FXStreetNews,pabspiovano,mention,0.5
newsforextrader,bankofengland,tweet,1.0
LetHQltd,bankofengland,tweet,1.0
gaforexglobal,bankofengland,tweet,1.0
TMReserve,bankofengland,tweet,1.0
charliedogdiary,bankofengland,tweet,1.0
DNAccountants,bankofengland,tweet,1.0
DNAccountants,thisismoney,mention,0.5
robhonig,bankofengland,tweet,1.0
robhonig,maneco1964,mention,0.5
tonydCFO,bankofengland,tweet,1.0
mobilego22,bankofengland,tweet,1.0
PriorConsults,LDNdailynews,mention,0.5
KVanderschrick,bankofengland,tweet,1.0
FXEmpirecom,bankofengland,tweet,1.0
tirohamchan,bankofengland,tweet,1.0
TradeFloorAudio,bankofengland,tweet,1.0
Somprevencio_sl,bankofengland,tweet,1.0
westcottsUK,bankofengland,tweet,1.0
PropMatters_,bankofengland,tweet,1.0
PropMatters_,bankofengland,mention,0.5
abplive,bankofengland,tweet,1.0
elifyesilmndrs,bankofengland,tweet,1.0
cescyl,IEA,mention,0.5
iPhoneiOSth,bankofengland,tweet,1.0
cescyl,Seguro_Agrario,mention,0.5
vizionwealth,bankofengland,tweet,1.0
cescyl,coe,mention,0.5
maurillac,bankofengland,tweet,1.0
maurillac,ForexLive,mention,0.5
peter_boring,bankofengland,tweet,1.0
kaoutharlbiati,bankofengland,tweet,1.0
iPhone14News_,bankofengland,tweet,1.0
LeahMahon_,bankofengland,tweet,1.0
LeahMahon_,TheVoiceNews,mention,0.5
JihadAnwar7,bankofengland,tweet,1.0
murph_jd,bankofengland,tweet,1.0
BlueLineFutures,bankofengland,tweet,1.0
ausumapp,bankofengland,tweet,1.0
ausumapp,BusinessDesk,mention,0.5
ausumapp,madgie1941,mention,0.5
CoachRPringle,863_jayy1,mention,0.5
CoachRPringle,FlaHSFootball,mention,0.5
CoachRPringle,larryblustein,mention,0.5
CoachRPringle,Dwight_XOS,mention,0.5
CoachRPringle,coach_bnapier,mention,0.5
CoachRPringle,CoachGusMalzahn,mention,0.5
itamarcaspi,bankofengland,tweet,1.0
Geeknetic,bankofengland,tweet,1.0
jointhecolonii,bankofengland,tweet,1.0
fathommacro,bankofengland,tweet,1.0
newsoneplace,bankofengland,tweet,1.0
1stEstateAgent,bankofengland,tweet,1.0
HedefCapitaluk,bankofengland,tweet,1.0
HedefCapital,bankofengland,tweet,1.0
fundscene,bankofengland,tweet,1.0
sosyalfx,bankofengland,tweet,1.0
fabiocanetg,bankofengland,tweet,1.0
fabiocanetg,swissinfo_de,mention,0.5
cidodiba,P_Recuperacion,mention,0.5
KnowlesWarwick,bankofengland,tweet,1.0
syrophide,bankofengland,tweet,1.0
NeuroDivergd,bankofengland,tweet,1.0
forexflowlive,bankofengland,tweet,1.0
InfoCriptDivisa,bankofengland,tweet,1.0
digitalsecki,bankofengland,tweet,1.0
cidodiba,MSocialGob,mention,0.5
sanmiadeagbo,bankofengland,tweet,1.0
bankofengland,farmfriendlincs,mention,0.5
UniCienciaSomos,bankofengland,tweet,1.0
UniCienciaSomos,UNED,mention,0.5
Veblen_Wine,bankofengland,tweet,1.0
PoohBearCorner,bankofengland,tweet,1.0
Lipper_Alpha,bankofengland,tweet,1.0
Lipper_Alpha,DewiJohn3,mention,0.5
Lipper_Alpha,Reuters,mention,0.5
RingsingC,bankofengland,tweet,1.0
RingsingC,PaulJDavies,mention,0.5
RingsingC,hughes_chris,mention,0.5
RingsingC,opinion,mention,0.5
RingsingC,markcarney2017,mention,0.5
MauriceKilbride,bankofengland,tweet,1.0
HousePriceMania,bankofengland,tweet,1.0
andrewsduncan1,bankofengland,tweet,1.0
Traders_Summit,bankofengland,tweet,1.0
Traders_Summit,GilesCoghlanCCA,mention,0.5
FXstreetReports,GilesCoghlanCCA,mention,0.5
_FinancialWorld,bankofengland,tweet,1.0
mercuryfxglobal,bankofengland,tweet,1.0
LipperLeaders,bankofengland,tweet,1.0
LipperLeaders,DewiJohn3,mention,0.5
LipperLeaders,Reuters,mention,0.5
BarcelonaIFA,bankofengland,tweet,1.0
RosaRoubini,bankofengland,tweet,1.0
