source,target,type,weight
bankofengland,AimSurfer,mention,0.5
bankofengland,Katie__Fox,mention,0.5
bankofengland,galiciaforex,mention,0.5
bankofengland,glamourie,mention,0.5
bankofengland,CEOemail,mention,0.5
bankofengland,picturetony,mention,0.5
bankofengland,UKgypsy77,mention,0.5
bankofengland,roryobryan,mention,0.5
bankofengland,JDrvr,mention,0.5
bankofengland,RNIB,mention,0.5
bankofengland,anj_ade,mention,0.5
bankofengland,jamese3k1,mention,0.5
bankofengland,JMLeitch,mention,0.5
bankofengland,LMAppeal,mention,0.5
bankofengland,UKCF_tweets,mention,0.5
bankofengland,AndyMRoberts,mention,0.5
bankofengland,DominicFrisby,mention,0.5
bankofengland,LSEGplc,mention,0.5
bankofengland,veeezwsm,mention,0.5
bankofengland,awaawardsuk,mention,0.5
bankofengland,IncEmp,mention,0.5
bankofengland,MrRee1974,mention,0.5
bankofengland,RedMissRed,mention,0.5
bankofengland,viegasf,mention,0.5
bankofengland,GoogleAI,mention,0.5
bankofengland,QUB_CEC,mention,0.5
bankofengland,QUBelfast,mention,0.5
bankofengland,Money_Advice,mention,0.5
bankofengland,Chris_Susan,mention,0.5
bankofengland,jamescunnington,mention,0.5
bankofengland,MattyHayes22,mention,0.5
bankofengland,ngelaAlmanzar1,mention,0.5
bankofengland,artoneill,mention,0.5
bankofengland,financialombuds,mention,0.5
bankofengland,HERoesinB,mention,0.5
bankofengland,fenalsflick,mention,0.5
bankofengland,YoavSoffer,mention,0.5
bankofengland,IAI_TV,mention,0.5
bankofengland,HTLGIFestival,mention,0.5
bankofengland,VilliersPark,mention,0.5
bankofengland,SocialMobilityF,mention,0.5
bankofengland,Google,mention,0.5
bankofengland,JakeYeo1,mention,0.5
bankofengland,nicoleelliott50,mention,0.5
bankofengland,starlemusique,mention,0.5
bankofengland,BrookingsInst,mention,0.5
bankofengland,Roland78332687,mention,0.5
bankofengland,mr_c_mr__c,mention,0.5
bankofengland,LisaS2703,mention,0.5
bankofengland,AevoJaeger,mention,0.5
bankofengland,Matty_TEE,mention,0.5
bankofengland,BITC,mention,0.5
bankofengland,KansasCityFed,mention,0.5
bankofengland,kimnicoll3,mention,0.5
bankofengland,jingscriven,mention,0.5
bankofengland,ARoberts3234,mention,0.5
bankofengland,lightbody,mention,0.5
bankofengland,TUMEKE_blog,mention,0.5
bankofengland,AndyCraig2210,mention,0.5
bankofengland,Livetorock2018,mention,0.5
bankofengland,britishinsafian,mention,0.5
bankofengland,Helenajay,mention,0.5
bankofengland,nadinethedream_,mention,0.5
bankofengland,TomW83mcfc,mention,0.5
bankofengland,Gemit92,mention,0.5
bankofengland,ThePaulClements,mention,0.5
bankofengland,Kash1690,mention,0.5
bankofengland,ad_walsh_,mention,0.5
bankofengland,PeTeVxR8,mention,0.5
bankofengland,CranfieldTom,mention,0.5
bankofengland,XrpEthan,mention,0.5
bankofengland,TheBabyExpert,mention,0.5
bankofengland,ZanderPretoriu1,mention,0.5
bankofengland,haskelecon,mention,0.5
bankofengland,andrewlees501,mention,0.5
bankofengland,FionaWoos,mention,0.5
bankofengland,SCHOOLSNE,mention,0.5
bankofengland,Neo54966275,mention,0.5
bankofengland,BrianDrian,mention,0.5
bankofengland,petrball,mention,0.5
bankofengland,forb69420,mention,0.5
bankofengland,UKFtweets,mention,0.5
bankofengland,Step14Johnathon,mention,0.5
bankofengland,PrueLeith,mention,0.5
bankofengland,2ddi_SA,mention,0.5
bankofengland,My5_tv,mention,0.5
bankofengland,SaudAbuHarbesh,mention,0.5
bankofengland,mattames80,mention,0.5
bankofengland,80sNostalgiafan,mention,0.5
bankofengland,MagicPoetDamo,mention,0.5
bankofengland,jmsld_,mention,0.5
bankofengland,paulCor44283590,mention,0.5
bankofengland,wayfarer26,mention,0.5
bankofengland,WillPulham,mention,0.5
bankofengland,EnglishCad,mention,0.5
bankofengland,thegingerpig,mention,0.5
bankofengland,drac49,mention,0.5
bankofengland,KonigDerWolfe,mention,0.5
bankofengland,hendrick87,mention,0.5
bankofengland,marybduffy,mention,0.5
bankofengland,madkads,mention,0.5
bankofengland,ChevronRoad,mention,0.5
bankofengland,pauldcapper,mention,0.5
bankofengland,tony89193543,mention,0.5
bankofengland,Johnbloodrage,mention,0.5
bankofengland,Gurshar12290941,mention,0.5
bankofengland,resi_analyst,mention,0.5
bankofengland,LovoStiltz,mention,0.5
bankofengland,City_MHA,mention,0.5
bankofengland,trumpetsblown,mention,0.5
bankofengland,aManCalledDavid,mention,0.5
bankofengland,RussOxley,mention,0.5
bankofengland,WillyBeamin10,mention,0.5
bankofengland,notayesmansecon,mention,0.5
bankofengland,AlzResearchUK,mention,0.5
bankofengland,Maverick42251,mention,0.5
bankofengland,MabelBr25051948,mention,0.5
bankofengland,LeeLvUnited,mention,0.5
bankofengland,mike_overthere,mention,0.5
bankofengland,MrBeesBrewery,mention,0.5
bankofengland,fcovalor,mention,0.5
bankofengland,businesslive,mention,0.5
bankofengland,derivativefool,mention,0.5
bankofengland,FSAssist,mention,0.5
bankofengland,FT,mention,0.5
bankofengland,SiFrew,mention,0.5
bankofengland,elliott06,mention,0.5
bankofengland,SarahJMaths,mention,0.5
bankofengland,vickyrandhawa,mention,0.5
bankofengland,BRIANCHAN88,mention,0.5
bankofengland,ClarkeClair,mention,0.5
bankofengland,_OchoOcho,mention,0.5
bankofengland,bctomuk,mention,0.5
bankofengland,normac64638538,mention,0.5
bankofengland,ChristineEade2,mention,0.5
bankofengland,SusanWi00845539,mention,0.5
bankofengland,peopleweeple,mention,0.5
bankofengland,jenni_bea,mention,0.5
bankofengland,martin_farley,mention,0.5
bankofengland,MinushY,mention,0.5
bankofengland,UKCards,mention,0.5
bankofengland,denista25493110,mention,0.5
bankofengland,Ellen__Ho,mention,0.5
bankofengland,carolslater130,mention,0.5
bankofengland,Conclaviamajor,mention,0.5
bankofengland,Jayne__Bond,mention,0.5
bankofengland,DM_Pipe,mention,0.5
bankofengland,pb1982,mention,0.5
bankofengland,alanrew,mention,0.5
bankofengland,ShopBank_io,mention,0.5
bankofengland,MizzCQ,mention,0.5
bankofengland,mauritius_gold,mention,0.5
bankofengland,huwjpthomas,mention,0.5
bankofengland,suewalker_05,mention,0.5
bankofengland,VickieShennan,mention,0.5
bankofengland,GilesDMiddleton,mention,0.5
bankofengland,Liberalcouncil,mention,0.5
bankofengland,barry_doggett,mention,0.5
bankofengland,Adamdivineshine,mention,0.5
bankofengland,juan_f_diaz,mention,0.5
bankofengland,Andrew_Isidoro,mention,0.5
bankofengland,damian_from,mention,0.5
bankofengland,AmyAmy2312,mention,0.5
bankofengland,drsimonthomson,mention,0.5
bankofengland,BlueDog75,mention,0.5
bankofengland,PotterSongs,mention,0.5
bankofengland,willperrin,mention,0.5
bankofengland,MuradQureshiLDN,mention,0.5
bankofengland,boatshedneil,mention,0.5
bankofengland,PMDDtakeover,mention,0.5
bankofengland,andrewanthonyb,mention,0.5
bankofengland,marvinirwin7,mention,0.5
bankofengland,dhaniboy84,mention,0.5
bankofengland,T19ht_h34d,mention,0.5
bankofengland,womensday,mention,0.5
bankofengland,jasonmiller077,mention,0.5
bankofengland,lfc6eurocups1,mention,0.5
bankofengland,thestandard1945,mention,0.5
bankofengland,DPManchee,mention,0.5
bankofengland,Lenny_Bobo,mention,0.5
bankofengland,Lagarde,mention,0.5
bankofengland,citylordmayor,mention,0.5
bankofengland,marrakechbride,mention,0.5
bankofengland,cheltenhamlady,mention,0.5
bankofengland,Sasta24,mention,0.5
bankofengland,miles527,mention,0.5
bankofengland,lovinJADEalways,mention,0.5
bankofengland,NaheedaRabbani,mention,0.5
bankofengland,Anon34058661,mention,0.5
bankofengland,EmiliePW,mention,0.5
bankofengland,Leciqa,mention,0.5
bankofengland,DanaManchild,mention,0.5
bankofengland,Markind_0,mention,0.5
bankofengland,Matti_ONeil,mention,0.5
bankofengland,arch_catherine,mention,0.5
bankofengland,Chelmsford92,mention,0.5
bankofengland,WestMid_ExCop,mention,0.5
bankofengland,CallsumaAli,mention,0.5
bankofengland,Tate,mention,0.5
bankofengland,hollyabe10,mention,0.5
bankofengland,davecobblerlee,mention,0.5
bankofengland,ronaldinhio,mention,0.5
bankofengland,Graham_Sargent1,mention,0.5
bankofengland,TheCalendarCo,mention,0.5
bankofengland,jagwaldo,mention,0.5
bankofengland,jiffers,mention,0.5
bankofengland,coedmieri,mention,0.5
bankofengland,HSBC_UK,mention,0.5
bankofengland,MicaB94,mention,0.5
bankofengland,Telegraph,mention,0.5
bankofengland,UoNEconomics,mention,0.5
bankofengland,UniofNottingham,mention,0.5
bankofengland,BendyBill,mention,0.5
bankofengland,indparltrust,mention,0.5
bankofengland,pennylongstckng,mention,0.5
bankofengland,HouseofCommons,mention,0.5
bankofengland,TurnersHouse,mention,0.5
bankofengland,FrenchFinancier,mention,0.5
bankofengland,ravivarmarao,mention,0.5
bankofengland,Jakeywakey0,mention,0.5
bankofengland,JustineElyot,mention,0.5
bankofengland,TemiSamuel,mention,0.5
bankofengland,emeraldia3,mention,0.5
bankofengland,wmarybeard,mention,0.5
bankofengland,kuge24732451,mention,0.5
bankofengland,BorisJohnson,mention,0.5
bankofengland,thecustomshouse,mention,0.5
bankofengland,STEVEY3KC,mention,0.5
bankofengland,jimmyboy_80,mention,0.5
bankofengland,sianalltimeblow,mention,0.5
bankofengland,octymocty,mention,0.5
bankofengland,Cmckbish,mention,0.5
bankofengland,HepburnGraham,mention,0.5
bankofengland,BoabyBasher,mention,0.5
bankofengland,antartica81,mention,0.5
bankofengland,biscuit_ersed,mention,0.5
bankofengland,treacy_a,mention,0.5
bankofengland,ac050919,mention,0.5
bankofengland,MalcolmHay,mention,0.5
bankofengland,TCMargate,mention,0.5
bankofengland,bikesandthings1,mention,0.5
bankofengland,DawnMDuval,mention,0.5
bankofengland,GivingTuesdayUK,mention,0.5
bankofengland,BrainTumourOrg,mention,0.5
bankofengland,LDNairamb,mention,0.5
bankofengland,MoaningMyrti,mention,0.5
bankofengland,THTorguk,mention,0.5
bankofengland,DrKirstyRoberts,mention,0.5
bankofengland,BristolUni,mention,0.5
bankofengland,DiscoverEcon,mention,0.5
bankofengland,luxlifeblog,mention,0.5
bankofengland,womenoffuture,mention,0.5
bankofengland,EvanD,mention,0.5
bankofengland,Steven94n,mention,0.5
bankofengland,mrtwentytwenty,mention,0.5
bankofengland,seasideexile,mention,0.5
bankofengland,jord_jjw,mention,0.5
bankofengland,S4SNextGen,mention,0.5
bankofengland,IBankszzy,mention,0.5
bankofengland,CurriculumBlack,mention,0.5
bankofengland,cronauta,mention,0.5
bankofengland,HarvirDhillon,mention,0.5
